degree	specialization	cgpa	internship_experience	certifications	project_count	job_role
B.Tech	Data Science	9.59	No	Yes	4	ML Engineer
MCA	Data Science	9.33	No	No	4	ML Engineer
B.Tech	Artificial Intelligence	8.7	No	Yes	6	ML Engineer
MBA	Information Technology	7.95	No	No	3	Software Developer
M.Sc	Information Technology	7.4	Yes	No	0	Software Developer
MCA	Information Technology	8.46	Yes	Yes	0	Software Developer
M.Sc	Data Science	7.96	Yes	Yes	6	Data Scientist
B.Tech	Artificial Intelligence	8.88	Yes	No	3	Data Scientist
MCA	Artificial Intelligence	7.94	Yes	No	5	ML Engineer
B.Tech	Information Technology	8.18	Yes	No	1	Software Developer
B.Tech	Business Analytics	8.58	Yes	Yes	7	Data Scientist
MCA	Artificial Intelligence	9.19	Yes	No	4	ML Engineer
M.Sc	Information Technology	7.33	No	Yes	3	Business Analyst
MCA	Artificial Intelligence	8.88	No	Yes	6	ML Engineer
M.Sc	Business Analytics	6.41	No	No	1	Business Analyst
MCA	Computer Science	8.44	Yes	No	4	Software Developer
B.Tech	Data Science	9.17	Yes	Yes	3	ML Engineer
MCA	Business Analytics	7.5	No	No	2	Business Analyst
M.Sc	Computer Science	8.41	No	Yes	5	ML Engineer
M.Sc	Computer Science	8.64	Yes	Yes	6	Data Scientist
MBA	Computer Science	7.89	Yes	No	6	Data Scientist
B.Tech	Computer Science	8.83	No	No	6	Data Scientist
M.Sc	Computer Science	8.67	Yes	No	6	ML Engineer
MCA	Computer Science	8.34	No	No	0	Software Developer
MBA	Business Analytics	6.41	Yes	No	1	Business Analyst
M.Sc	Computer Science	9.5	Yes	No	8	ML Engineer
M.Sc	Information Technology	7.74	No	No	3	Business Analyst
MCA	Computer Science	9.36	No	Yes	8	Data Scientist
B.Tech	Business Analytics	9.54	Yes	No	6	Data Scientist
M.Sc	Computer Science	8.2	No	Yes	5	Software Developer
B.Tech	Business Analytics	7.87	Yes	Yes	2	Business Analyst
M.Sc	Information Technology	7.78	No	No	3	Software Developer
MCA	Data Science	8.42	Yes	Yes	7	Data Scientist
MCA	Computer Science	8.24	Yes	No	6	Data Scientist
MBA	Computer Science	8.0	No	Yes	6	ML Engineer
MBA	Computer Science	8.28	No	No	0	Software Developer
B.Tech	Computer Science	8.2	No	No	3	Data Scientist
MBA	Information Technology	7.69	No	Yes	3	Software Developer
MCA	Artificial Intelligence	10.0	No	No	8	ML Engineer
B.Tech	Artificial Intelligence	7.85	Yes	Yes	5	Data Scientist
MBA	Data Science	9.59	Yes	No	5	Data Scientist
M.Sc	Business Analytics	8.74	Yes	Yes	4	Data Scientist
B.Tech	Information Technology	6.63	No	Yes	5	Business Analyst
B.Tech	Computer Science	8.56	No	No	2	Software Developer
B.Tech	Data Science	9.78	No	No	7	ML Engineer
MBA	Business Analytics	7.42	Yes	Yes	1	Business Analyst
B.Tech	Information Technology	6.71	No	Yes	1	Business Analyst
MBA	Computer Science	8.86	Yes	Yes	4	ML Engineer
MBA	Computer Science	9.32	No	Yes	4	ML Engineer
MBA	Information Technology	8.01	No	Yes	4	Software Developer
MBA	Business Analytics	8.91	No	No	6	Data Scientist
MBA	Information Technology	8.78	No	Yes	1	Software Developer
B.Tech	Computer Science	8.61	No	Yes	3	Software Developer
B.Tech	Business Analytics	6.45	No	Yes	3	Business Analyst
M.Sc	Computer Science	8.18	Yes	Yes	8	Data Scientist
M.Sc	Data Science	8.79	Yes	No	6	ML Engineer
M.Sc	Artificial Intelligence	9.89	Yes	Yes	8	ML Engineer
MBA	Computer Science	8.21	No	No	7	Data Scientist
MBA	Computer Science	8.71	No	Yes	8	ML Engineer
MCA	Data Science	9.3	Yes	Yes	4	ML Engineer
M.Sc	Computer Science	8.35	No	No	3	Data Scientist
MBA	Data Science	7.94	Yes	Yes	5	Data Scientist
B.Tech	Business Analytics	8.04	No	Yes	3	Business Analyst
MCA	Computer Science	8.35	No	Yes	3	Software Developer
MCA	Data Science	9.31	Yes	Yes	7	Data Scientist
B.Tech	Data Science	8.68	No	Yes	6	Data Scientist
MBA	Computer Science	9.25	Yes	Yes	7	Data Scientist
M.Sc	Computer Science	9.08	No	No	4	Software Developer
MCA	Data Science	9.14	Yes	No	7	ML Engineer
B.Tech	Business Analytics	5.66	No	Yes	5	Business Analyst
B.Tech	Data Science	8.89	No	No	5	ML Engineer
MBA	Computer Science	9.08	No	No	6	Data Scientist
M.Sc	Information Technology	8.58	No	No	1	Software Developer
MCA	Business Analytics	9.33	Yes	Yes	7	Data Scientist
MBA	Artificial Intelligence	8.0	Yes	Yes	4	Data Scientist
MCA	Artificial Intelligence	9.51	Yes	No	3	ML Engineer
MCA	Computer Science	7.67	Yes	Yes	5	Data Scientist
MBA	Data Science	8.59	No	Yes	4	Data Scientist
M.Sc	Computer Science	9.01	Yes	Yes	5	Data Scientist
M.Sc	Information Technology	7.8	No	Yes	3	Business Analyst
MCA	Business Analytics	8.49	Yes	Yes	7	Data Scientist
B.Tech	Information Technology	8.47	No	No	5	Business Analyst
MBA	Artificial Intelligence	9.02	Yes	Yes	7	ML Engineer
M.Sc	Computer Science	8.81	No	No	4	ML Engineer
MBA	Artificial Intelligence	9.23	Yes	Yes	8	ML Engineer
MCA	Artificial Intelligence	9.53	No	No	6	ML Engineer
B.Tech	Artificial Intelligence	8.7	No	No	6	Data Scientist
MCA	Information Technology	8.0	No	No	4	Business Analyst
M.Sc	Information Technology	8.11	Yes	No	0	Software Developer
MCA	Information Technology	7.07	Yes	No	5	Business Analyst
M.Sc	Computer Science	9.6	Yes	Yes	7	ML Engineer
MCA	Information Technology	6.92	Yes	No	3	Business Analyst
M.Sc	Business Analytics	7.02	No	No	1	Business Analyst
MCA	Computer Science	8.27	Yes	Yes	7	Data Scientist
MCA	Information Technology	8.05	No	No	4	Software Developer
M.Sc	Artificial Intelligence	8.8	Yes	No	4	ML Engineer
MCA	Information Technology	7.27	No	Yes	3	Software Developer
MBA	Data Science	8.43	No	No	8	Data Scientist
MBA	Artificial Intelligence	8.57	Yes	No	8	ML Engineer
M.Sc	Information Technology	8.08	No	No	5	Business Analyst
M.Sc	Computer Science	7.18	Yes	Yes	3	Data Scientist
M.Sc	Artificial Intelligence	9.15	No	Yes	3	Data Scientist
MCA	Business Analytics	6.36	Yes	Yes	4	Business Analyst
MCA	Computer Science	9.47	No	No	6	ML Engineer
M.Sc	Computer Science	8.5	No	Yes	7	Data Scientist
MBA	Computer Science	7.23	Yes	No	0	Software Developer
MCA	Computer Science	7.73	No	Yes	4	Software Developer
MBA	Artificial Intelligence	8.01	Yes	Yes	8	ML Engineer
B.Tech	Information Technology	6.03	No	Yes	1	Software Developer
MCA	Data Science	8.62	Yes	Yes	7	Data Scientist
MBA	Data Science	9.23	No	No	6	ML Engineer
MBA	Information Technology	8.41	No	Yes	4	Software Developer
M.Sc	Data Science	8.72	No	Yes	4	ML Engineer
MCA	Information Technology	7.61	Yes	Yes	1	Business Analyst
B.Tech	Artificial Intelligence	9.71	Yes	No	8	ML Engineer
B.Tech	Business Analytics	7.94	Yes	Yes	8	Data Scientist
M.Sc	Artificial Intelligence	8.02	Yes	No	6	Data Scientist
M.Sc	Business Analytics	8.0	Yes	No	5	Data Scientist
B.Tech	Business Analytics	6.06	Yes	Yes	3	Business Analyst
B.Tech	Computer Science	8.74	No	No	3	Data Scientist
MBA	Information Technology	8.52	Yes	No	3	Business Analyst
M.Sc	Computer Science	7.69	No	Yes	4	Software Developer
B.Tech	Computer Science	7.96	No	Yes	5	Software Developer
MCA	Artificial Intelligence	8.32	Yes	No	8	Data Scientist
B.Tech	Data Science	9.66	No	No	7	ML Engineer
M.Sc	Business Analytics	8.65	Yes	Yes	7	Data Scientist
M.Sc	Data Science	7.81	No	Yes	7	ML Engineer
MCA	Business Analytics	8.88	No	Yes	6	Data Scientist
M.Sc	Data Science	8.79	Yes	No	7	Data Scientist
MBA	Computer Science	7.75	Yes	Yes	5	Data Scientist
MCA	Information Technology	7.36	No	Yes	1	Business Analyst
MCA	Business Analytics	7.59	No	No	5	Data Scientist
MCA	Information Technology	7.23	No	Yes	5	Business Analyst
B.Tech	Artificial Intelligence	9.18	No	Yes	5	Data Scientist
M.Sc	Information Technology	7.72	Yes	No	3	Software Developer
MCA	Computer Science	8.62	No	No	3	ML Engineer
M.Sc	Information Technology	7.25	No	No	0	Software Developer
B.Tech	Data Science	8.98	No	Yes	8	ML Engineer
M.Sc	Artificial Intelligence	9.03	No	No	6	ML Engineer
M.Sc	Information Technology	8.42	No	Yes	3	Software Developer
M.Sc	Information Technology	7.41	Yes	Yes	4	Software Developer
MBA	Artificial Intelligence	8.49	Yes	No	5	ML Engineer
M.Sc	Business Analytics	7.28	No	Yes	1	Business Analyst
MBA	Artificial Intelligence	9.3	Yes	No	6	ML Engineer
MCA	Data Science	8.45	Yes	No	4	ML Engineer
M.Sc	Computer Science	8.18	Yes	Yes	6	ML Engineer
MCA	Computer Science	7.69	Yes	No	0	Software Developer
B.Tech	Business Analytics	8.27	Yes	No	0	Business Analyst
M.Sc	Business Analytics	6.94	Yes	Yes	4	Business Analyst
B.Tech	Business Analytics	5.8	No	Yes	5	Business Analyst
B.Tech	Information Technology	6.07	Yes	No	5	Software Developer
MCA	Business Analytics	6.08	No	No	1	Business Analyst
MCA	Data Science	7.91	No	Yes	5	Data Scientist
MCA	Computer Science	8.43	Yes	Yes	4	ML Engineer
MBA	Computer Science	8.05	No	Yes	3	Data Scientist
MBA	Data Science	8.48	Yes	No	5	Data Scientist
B.Tech	Business Analytics	5.6	No	No	3	Business Analyst
B.Tech	Computer Science	7.3	No	Yes	3	Software Developer
M.Sc	Business Analytics	7.58	No	No	2	Business Analyst
MCA	Information Technology	8.41	Yes	Yes	3	Software Developer
MCA	Business Analytics	7.79	Yes	No	5	Business Analyst
B.Tech	Information Technology	7.11	Yes	Yes	1	Business Analyst
MCA	Data Science	9.44	No	Yes	6	ML Engineer
MBA	Business Analytics	7.21	No	No	4	Business Analyst
M.Sc	Artificial Intelligence	8.64	No	Yes	8	ML Engineer
MBA	Computer Science	8.49	Yes	No	8	Data Scientist
B.Tech	Information Technology	7.32	No	No	4	Business Analyst
MBA	Information Technology	8.14	Yes	No	1	Software Developer
M.Sc	Data Science	8.88	No	No	8	Data Scientist
MCA	Business Analytics	7.18	Yes	No	3	Business Analyst
M.Sc	Artificial Intelligence	8.63	No	No	8	Data Scientist
MBA	Business Analytics	7.27	No	No	5	Data Scientist
B.Tech	Data Science	9.18	No	No	3	ML Engineer
B.Tech	Information Technology	6.42	No	Yes	3	Business Analyst
M.Sc	Computer Science	7.44	No	No	1	Software Developer
B.Tech	Data Science	8.96	Yes	Yes	4	ML Engineer
B.Tech	Business Analytics	7.21	Yes	Yes	4	Business Analyst
MBA	Artificial Intelligence	7.38	Yes	Yes	6	Data Scientist
MCA	Business Analytics	7.39	Yes	No	4	Business Analyst
MCA	Artificial Intelligence	8.87	Yes	No	4	ML Engineer
M.Sc	Information Technology	6.75	No	Yes	0	Software Developer
MBA	Information Technology	6.58	No	No	2	Business Analyst
B.Tech	Data Science	8.32	Yes	Yes	7	Data Scientist
MCA	Business Analytics	8.21	Yes	Yes	5	Data Scientist
MBA	Computer Science	9.25	No	Yes	4	Data Scientist
B.Tech	Business Analytics	8.71	No	No	2	Business Analyst
MBA	Artificial Intelligence	9.42	No	No	5	Data Scientist
MCA	Information Technology	7.66	No	Yes	1	Software Developer
MBA	Data Science	7.44	No	Yes	5	ML Engineer
MCA	Artificial Intelligence	8.66	Yes	Yes	6	Data Scientist
M.Sc	Computer Science	8.46	Yes	Yes	2	Software Developer
M.Sc	Data Science	8.21	No	Yes	8	ML Engineer
B.Tech	Information Technology	7.7	Yes	Yes	5	Business Analyst
MCA	Information Technology	6.2	No	Yes	0	Business Analyst
MBA	Business Analytics	8.5	Yes	Yes	3	Business Analyst
M.Sc	Artificial Intelligence	8.8	No	Yes	7	Data Scientist
B.Tech	Computer Science	8.92	Yes	Yes	0	Software Developer
MCA	Business Analytics	7.01	Yes	Yes	2	Business Analyst
MCA	Information Technology	7.71	Yes	No	0	Business Analyst
B.Tech	Information Technology	7.15	Yes	Yes	1	Business Analyst
MBA	Computer Science	7.67	No	Yes	1	Software Developer
B.Tech	Information Technology	7.51	Yes	Yes	0	Software Developer
MCA	Computer Science	7.7	Yes	Yes	3	Software Developer
MCA	Computer Science	8.43	No	No	5	Software Developer
B.Tech	Data Science	8.35	No	Yes	7	ML Engineer
MCA	Artificial Intelligence	9.0	No	No	8	ML Engineer
MBA	Business Analytics	7.38	Yes	Yes	4	Business Analyst
B.Tech	Computer Science	8.99	No	No	7	ML Engineer
M.Sc	Computer Science	7.64	No	No	2	Software Developer
B.Tech	Artificial Intelligence	9.34	Yes	No	7	ML Engineer
M.Sc	Computer Science	6.92	No	No	0	Software Developer
M.Sc	Computer Science	7.72	No	No	2	Software Developer
MBA	Data Science	9.05	Yes	Yes	5	ML Engineer
MBA	Business Analytics	5.98	Yes	Yes	3	Business Analyst
MCA	Computer Science	7.88	No	No	0	Software Developer
MBA	Artificial Intelligence	9.26	Yes	Yes	5	ML Engineer
M.Sc	Business Analytics	7.4	Yes	Yes	2	Business Analyst
B.Tech	Artificial Intelligence	8.54	Yes	No	6	Data Scientist
M.Sc	Information Technology	5.98	No	No	5	Business Analyst
MBA	Information Technology	6.6	No	Yes	0	Software Developer
B.Tech	Artificial Intelligence	9.02	No	No	5	ML Engineer
MBA	Computer Science	7.94	No	Yes	2	Software Developer
B.Tech	Business Analytics	7.52	No	No	3	Data Scientist
M.Sc	Computer Science	7.45	No	No	4	Software Developer
MCA	Information Technology	7.9	No	Yes	0	Software Developer
M.Sc	Computer Science	7.76	Yes	No	4	Software Developer
MCA	Information Technology	8.99	Yes	No	3	Software Developer
MBA	Information Technology	8.46	Yes	No	0	Software Developer
B.Tech	Artificial Intelligence	9.16	Yes	No	4	ML Engineer
B.Tech	Business Analytics	9.61	No	Yes	6	Data Scientist
B.Tech	Computer Science	8.6	Yes	No	3	Data Scientist
M.Sc	Business Analytics	7.49	Yes	No	0	Business Analyst
MBA	Business Analytics	8.86	Yes	Yes	5	Data Scientist
M.Sc	Information Technology	7.59	Yes	No	1	Business Analyst
MBA	Information Technology	6.98	Yes	Yes	3	Business Analyst
MBA	Computer Science	7.8	No	No	1	Software Developer
MCA	Computer Science	7.87	No	Yes	4	Data Scientist
B.Tech	Information Technology	7.78	Yes	Yes	0	Business Analyst
MBA	Data Science	8.68	No	Yes	3	Data Scientist
B.Tech	Data Science	8.37	Yes	No	5	Data Scientist
MBA	Business Analytics	9.09	Yes	Yes	6	Data Scientist
B.Tech	Artificial Intelligence	9.1	Yes	Yes	7	ML Engineer
M.Sc	Information Technology	7.27	No	No	3	Software Developer
M.Sc	Data Science	7.21	Yes	No	8	Data Scientist
M.Sc	Business Analytics	9.39	Yes	No	3	Data Scientist
M.Sc	Computer Science	8.61	Yes	Yes	5	Software Developer
MCA	Artificial Intelligence	8.94	No	Yes	8	ML Engineer
MCA	Information Technology	6.97	Yes	No	5	Business Analyst
MCA	Information Technology	8.3	No	No	1	Software Developer
B.Tech	Artificial Intelligence	8.6	Yes	No	6	ML Engineer
B.Tech	Information Technology	7.38	Yes	No	3	Business Analyst
MCA	Artificial Intelligence	8.68	No	No	6	ML Engineer
M.Sc	Business Analytics	6.14	No	No	2	Business Analyst
M.Sc	Computer Science	7.26	Yes	Yes	2	Software Developer
MCA	Computer Science	8.48	Yes	No	4	Software Developer
MBA	Data Science	9.54	No	No	3	ML Engineer
B.Tech	Information Technology	7.59	Yes	No	2	Business Analyst
MCA	Information Technology	7.93	No	Yes	1	Business Analyst
M.Sc	Artificial Intelligence	8.88	No	No	8	ML Engineer
M.Sc	Information Technology	7.59	No	Yes	3	Software Developer
MCA	Computer Science	9.01	No	No	4	ML Engineer
MBA	Information Technology	7.4	No	Yes	1	Software Developer
MCA	Data Science	8.89	Yes	Yes	6	ML Engineer
B.Tech	Information Technology	8.62	No	No	5	Business Analyst
B.Tech	Business Analytics	7.32	Yes	No	0	Business Analyst
B.Tech	Computer Science	9.58	Yes	Yes	5	ML Engineer
B.Tech	Artificial Intelligence	9.25	No	No	7	ML Engineer
B.Tech	Computer Science	8.55	No	Yes	7	ML Engineer
B.Tech	Business Analytics	7.06	Yes	Yes	0	Business Analyst
M.Sc	Information Technology	7.88	No	Yes	1	Software Developer
M.Sc	Data Science	8.23	Yes	Yes	5	Data Scientist
B.Tech	Information Technology	7.63	No	Yes	3	Software Developer
M.Sc	Computer Science	6.9	No	No	3	Software Developer
B.Tech	Data Science	8.47	Yes	No	8	ML Engineer
B.Tech	Business Analytics	7.27	No	Yes	2	Business Analyst
MCA	Information Technology	7.6	Yes	No	1	Business Analyst
