degree	specialization	programming_skill_level	internship_experience	certifications	project_count	job_role
MCA	Data Science	Advanced	Yes	No	6	Data Scientist
B.Tech	Information Technology	Advanced	Yes	Yes	2	Software Developer
M.Sc	Information Technology	Advanced	Yes	No	6	Software Developer
MBA	Data Science	Advanced	Yes	Yes	6	Data Scientist
MBA	Data Science	Intermediate	No	No	3	ML Engineer
MCA	Business Analytics	Beginner	Yes	Yes	5	Business Analyst
MCA	Data Science	Advanced	No	Yes	4	ML Engineer
MCA	Artificial Intelligence	Advanced	Yes	Yes	3	ML Engineer
M.Sc	Data Science	Advanced	No	Yes	0	Data Scientist
B.Tech	Computer Science	Advanced	Yes	No	4	Software Developer
M.Sc	Artificial Intelligence	Advanced	No	Yes	3	ML Engineer
MBA	Business Analytics	Beginner	Yes	Yes	0	Business Analyst
B.Tech	Data Science	Advanced	No	Yes	1	Data Scientist
B.Tech	Information Technology	Advanced	Yes	Yes	4	Software Developer
B.Tech	Data Science	Advanced	Yes	Yes	2	Data Scientist
MBA	Data Science	Advanced	No	No	4	ML Engineer
MBA	Computer Science	Intermediate	Yes	No	5	Software Developer
MCA	Computer Science	Advanced	No	Yes	6	Software Developer
B.Tech	Data Science	Advanced	Yes	Yes	2	Data Scientist
MBA	Information Technology	Advanced	No	No	5	Software Developer
MBA	Data Science	Advanced	Yes	Yes	3	Data Scientist
MCA	Business Analytics	Advanced	Yes	Yes	0	Business Analyst
M.Sc	Data Science	Advanced	No	Yes	3	Data Scientist
B.Tech	Information Technology	Intermediate	Yes	No	3	Software Developer
MCA	Data Science	Intermediate	No	Yes	0	Data Scientist
MBA	Computer Science	Advanced	No	Yes	3	Software Developer
M.Sc	Data Science	Advanced	Yes	Yes	5	Data Scientist
MBA	Data Science	Advanced	Yes	Yes	1	Data Scientist
MCA	Computer Science	Advanced	Yes	Yes	5	Software Developer
M.Sc	Data Science	Intermediate	Yes	No	6	ML Engineer
M.Sc	Data Science	Advanced	No	Yes	3	Data Scientist
M.Sc	Computer Science	Intermediate	Yes	No	5	Software Developer
M.Sc	Artificial Intelligence	Advanced	Yes	No	4	ML Engineer
B.Tech	Artificial Intelligence	Advanced	Yes	No	4	ML Engineer
MCA	Business Analytics	Beginner	Yes	No	4	Business Analyst
MCA	Information Technology	Advanced	Yes	No	3	Software Developer
M.Sc	Computer Science	Advanced	No	No	2	Software Developer
M.Sc	Data Science	Advanced	No	Yes	5	Data Scientist
MBA	Computer Science	Intermediate	No	Yes	2	Software Developer
B.Tech	Artificial Intelligence	Advanced	Yes	No	3	ML Engineer
M.Sc	Data Science	Advanced	Yes	No	2	Data Scientist
M.Sc	Artificial Intelligence	Intermediate	No	No	5	ML Engineer
MBA	Data Science	Advanced	No	Yes	6	Data Scientist
M.Sc	Business Analytics	Intermediate	Yes	No	3	Business Analyst
MCA	Data Science	Advanced	Yes	No	1	Data Scientist
MBA	Business Analytics	Intermediate	No	Yes	0	Business Analyst
MCA	Business Analytics	Intermediate	Yes	Yes	2	Business Analyst
MCA	Information Technology	Advanced	Yes	Yes	2	Software Developer
MCA	Artificial Intelligence	Advanced	No	No	5	ML Engineer
MCA	Data Science	Intermediate	Yes	Yes	3	Data Scientist
B.Tech	Business Analytics	Beginner	No	Yes	3	Business Analyst
MBA	Data Science	Advanced	No	Yes	6	ML Engineer
MBA	Information Technology	Advanced	Yes	Yes	6	Software Developer
MBA	Data Science	Advanced	No	No	1	Data Scientist
B.Tech	Business Analytics	Intermediate	Yes	No	5	Business Analyst
MBA	Artificial Intelligence	Advanced	Yes	Yes	3	ML Engineer
M.Sc	Business Analytics	Beginner	Yes	Yes	1	Business Analyst
MCA	Data Science	Advanced	Yes	Yes	3	Data Scientist
M.Sc	Artificial Intelligence	Intermediate	No	No	3	ML Engineer
B.Tech	Artificial Intelligence	Advanced	Yes	Yes	5	ML Engineer
MCA	Business Analytics	Beginner	Yes	Yes	4	Business Analyst
B.Tech	Business Analytics	Beginner	No	Yes	2	Business Analyst
B.Tech	Data Science	Intermediate	Yes	No	3	ML Engineer
MCA	Artificial Intelligence	Advanced	No	Yes	5	ML Engineer
MBA	Artificial Intelligence	Intermediate	No	No	5	ML Engineer
MBA	Artificial Intelligence	Intermediate	Yes	No	3	ML Engineer
B.Tech	Data Science	Advanced	No	Yes	6	Data Scientist
MCA	Data Science	Advanced	No	Yes	6	Data Scientist
B.Tech	Business Analytics	Beginner	Yes	No	4	Business Analyst
MBA	Computer Science	Intermediate	No	No	4	Software Developer
M.Sc	Data Science	Intermediate	No	No	3	ML Engineer
M.Sc	Data Science	Advanced	No	Yes	5	Data Scientist
B.Tech	Artificial Intelligence	Advanced	No	Yes	6	ML Engineer
MCA	Business Analytics	Beginner	No	Yes	4	Business Analyst
B.Tech	Artificial Intelligence	Advanced	Yes	No	5	ML Engineer
MCA	Information Technology	Beginner	No	No	6	Software Developer
MCA	Information Technology	Advanced	Yes	No	4	Software Developer
M.Sc	Business Analytics	Intermediate	Yes	Yes	4	Business Analyst
MCA	Business Analytics	Beginner	No	Yes	5	Business Analyst
M.Sc	Information Technology	Beginner	No	No	5	Software Developer
MCA	Data Science	Advanced	No	No	3	ML Engineer
B.Tech	Business Analytics	Intermediate	Yes	No	4	Business Analyst
MBA	Artificial Intelligence	Advanced	No	No	6	ML Engineer
MCA	Artificial Intelligence	Advanced	Yes	No	3	ML Engineer
M.Sc	Data Science	Advanced	Yes	No	5	ML Engineer
B.Tech	Artificial Intelligence	Advanced	Yes	Yes	4	ML Engineer
MBA	Artificial Intelligence	Intermediate	No	Yes	5	ML Engineer
MCA	Data Science	Advanced	Yes	Yes	1	Data Scientist
M.Sc	Information Technology	Advanced	No	No	3	Software Developer
B.Tech	Data Science	Advanced	Yes	No	6	ML Engineer
M.Sc	Data Science	Advanced	No	Yes	6	Data Scientist
MBA	Data Science	Advanced	Yes	No	4	Data Scientist
B.Tech	Information Technology	Intermediate	Yes	No	3	Software Developer
M.Sc	Data Science	Intermediate	No	Yes	6	Data Scientist
M.Sc	Data Science	Advanced	Yes	No	3	ML Engineer
MBA	Data Science	Intermediate	No	No	3	ML Engineer
MCA	Information Technology	Intermediate	Yes	Yes	4	Software Developer
M.Sc	Data Science	Advanced	Yes	No	3	ML Engineer
MCA	Business Analytics	Beginner	No	No	2	Business Analyst
M.Sc	Data Science	Advanced	Yes	No	5	ML Engineer
M.Sc	Business Analytics	Beginner	No	No	1	Business Analyst
MBA	Data Science	Intermediate	Yes	Yes	1	Data Scientist
M.Sc	Information Technology	Advanced	Yes	Yes	5	Software Developer
MCA	Business Analytics	Intermediate	Yes	Yes	0	Business Analyst
B.Tech	Information Technology	Intermediate	Yes	Yes	4	Software Developer
B.Tech	Computer Science	Intermediate	Yes	Yes	4	Software Developer
MBA	Information Technology	Advanced	Yes	No	4	Software Developer
MCA	Business Analytics	Beginner	Yes	Yes	1	Business Analyst
MCA	Business Analytics	Advanced	Yes	No	2	Business Analyst
MBA	Business Analytics	Beginner	No	Yes	6	Business Analyst
MCA	Computer Science	Beginner	Yes	No	3	Software Developer
M.Sc	Information Technology	Beginner	No	Yes	2	Software Developer
MCA	Information Technology	Advanced	Yes	Yes	3	Software Developer
M.Sc	Business Analytics	Intermediate	Yes	Yes	2	Business Analyst
M.Sc	Information Technology	Intermediate	No	No	3	Software Developer
MBA	Data Science	Advanced	No	Yes	3	Data Scientist
B.Tech	Data Science	Advanced	No	Yes	6	ML Engineer
M.Sc	Data Science	Advanced	Yes	Yes	3	ML Engineer
MBA	Computer Science	Intermediate	Yes	Yes	6	Software Developer
MBA	Computer Science	Advanced	No	Yes	5	Software Developer
MBA	Data Science	Advanced	No	Yes	4	Data Scientist
M.Sc	Data Science	Intermediate	Yes	No	0	Data Scientist
B.Tech	Data Science	Advanced	Yes	Yes	6	Data Scientist
B.Tech	Data Science	Advanced	Yes	Yes	3	Data Scientist
M.Sc	Computer Science	Advanced	Yes	Yes	5	Software Developer
B.Tech	Artificial Intelligence	Advanced	No	No	4	ML Engineer
M.Sc	Business Analytics	Intermediate	No	No	4	Business Analyst
MCA	Artificial Intelligence	Advanced	Yes	No	5	ML Engineer
MCA	Artificial Intelligence	Advanced	Yes	Yes	5	ML Engineer
MBA	Artificial Intelligence	Intermediate	No	Yes	5	ML Engineer
MBA	Data Science	Advanced	Yes	No	4	Data Scientist
B.Tech	Information Technology	Advanced	No	Yes	6	Software Developer
B.Tech	Artificial Intelligence	Intermediate	Yes	Yes	6	ML Engineer
MCA	Data Science	Advanced	Yes	No	0	Data Scientist
B.Tech	Information Technology	Advanced	No	Yes	5	Software Developer
M.Sc	Artificial Intelligence	Advanced	No	Yes	5	ML Engineer
B.Tech	Computer Science	Beginner	Yes	No	5	Software Developer
B.Tech	Data Science	Advanced	Yes	Yes	3	Data Scientist
MBA	Data Science	Advanced	No	Yes	5	ML Engineer
MCA	Computer Science	Advanced	No	No	6	Software Developer
MCA	Artificial Intelligence	Advanced	No	No	4	ML Engineer
MCA	Business Analytics	Intermediate	Yes	No	4	Business Analyst
MCA	Computer Science	Intermediate	No	Yes	4	Software Developer
M.Sc	Data Science	Advanced	Yes	Yes	5	ML Engineer
M.Sc	Artificial Intelligence	Intermediate	No	Yes	5	ML Engineer
B.Tech	Business Analytics	Beginner	No	Yes	2	Business Analyst
M.Sc	Business Analytics	Intermediate	No	No	1	Business Analyst
M.Sc	Business Analytics	Beginner	Yes	Yes	3	Business Analyst
M.Sc	Business Analytics	Advanced	No	No	3	Business Analyst
MBA	Data Science	Advanced	No	Yes	3	Data Scientist
MBA	Data Science	Advanced	Yes	Yes	5	Data Scientist
MCA	Data Science	Advanced	Yes	Yes	4	Data Scientist
MCA	Data Science	Advanced	No	Yes	1	Data Scientist
B.Tech	Computer Science	Advanced	No	No	6	Software Developer
MCA	Business Analytics	Intermediate	No	Yes	6	Business Analyst
M.Sc	Artificial Intelligence	Advanced	No	No	4	ML Engineer
MBA	Data Science	Advanced	No	Yes	3	Data Scientist
M.Sc	Data Science	Advanced	Yes	No	5	ML Engineer
MCA	Data Science	Advanced	Yes	Yes	3	ML Engineer
MBA	Business Analytics	Beginner	No	No	5	Business Analyst
MBA	Business Analytics	Beginner	Yes	No	5	Business Analyst
M.Sc	Data Science	Advanced	Yes	Yes	4	ML Engineer
MBA	Data Science	Advanced	Yes	No	1	Data Scientist
MCA	Information Technology	Advanced	No	No	2	Software Developer
MBA	Information Technology	Intermediate	No	Yes	6	Software Developer
B.Tech	Business Analytics	Intermediate	No	No	3	Business Analyst
MBA	Artificial Intelligence	Advanced	Yes	No	4	ML Engineer
B.Tech	Data Science	Advanced	No	Yes	3	Data Scientist
MBA	Data Science	Advanced	No	No	3	ML Engineer
B.Tech	Artificial Intelligence	Advanced	Yes	No	4	ML Engineer
M.Sc	Computer Science	Intermediate	Yes	No	4	Software Developer
B.Tech	Information Technology	Intermediate	No	No	2	Software Developer
MBA	Computer Science	Intermediate	Yes	No	4	Software Developer
B.Tech	Data Science	Advanced	Yes	Yes	3	ML Engineer
MCA	Information Technology	Advanced	Yes	No	4	Software Developer
MCA	Artificial Intelligence	Advanced	No	Yes	3	ML Engineer
MBA	Business Analytics	Intermediate	Yes	Yes	5	Business Analyst
B.Tech	Data Science	Advanced	No	Yes	1	Data Scientist
MCA	Data Science	Advanced	Yes	Yes	4	Data Scientist
B.Tech	Business Analytics	Beginner	Yes	Yes	4	Business Analyst
M.Sc	Computer Science	Intermediate	Yes	Yes	5	Software Developer
B.Tech	Data Science	Advanced	No	Yes	5	Data Scientist
M.Sc	Artificial Intelligence	Advanced	Yes	Yes	4	ML Engineer
MCA	Business Analytics	Beginner	No	Yes	2	Business Analyst
MCA	Business Analytics	Intermediate	No	No	5	Business Analyst
M.Sc	Business Analytics	Advanced	No	No	3	Business Analyst
M.Sc	Information Technology	Advanced	No	No	3	Software Developer
MBA	Business Analytics	Intermediate	No	Yes	0	Business Analyst
MCA	Data Science	Intermediate	Yes	Yes	5	Data Scientist
MBA	Computer Science	Advanced	Yes	No	2	Software Developer
M.Sc	Data Science	Advanced	No	Yes	4	Data Scientist
B.Tech	Computer Science	Advanced	Yes	Yes	6	Software Developer
B.Tech	Business Analytics	Intermediate	No	Yes	2	Business Analyst
MCA	Information Technology	Intermediate	Yes	Yes	2	Software Developer
M.Sc	Artificial Intelligence	Intermediate	No	Yes	4	ML Engineer
MBA	Computer Science	Advanced	No	Yes	3	Software Developer
B.Tech	Computer Science	Intermediate	Yes	Yes	4	Software Developer
MBA	Data Science	Advanced	No	No	0	Data Scientist
MBA	Business Analytics	Beginner	Yes	Yes	1	Business Analyst
MCA	Business Analytics	Beginner	No	Yes	5	Business Analyst
MBA	Information Technology	Advanced	Yes	Yes	6	Software Developer
MBA	Business Analytics	Intermediate	Yes	Yes	5	Business Analyst
M.Sc	Artificial Intelligence	Advanced	Yes	No	6	ML Engineer
MCA	Business Analytics	Intermediate	No	No	0	Business Analyst
MBA	Business Analytics	Beginner	Yes	Yes	5	Business Analyst
MBA	Business Analytics	Intermediate	Yes	No	0	Business Analyst
MBA	Data Science	Advanced	Yes	No	2	Data Scientist
MBA	Information Technology	Intermediate	No	Yes	3	Software Developer
M.Sc	Data Science	Intermediate	Yes	Yes	3	Data Scientist
MCA	Business Analytics	Intermediate	No	No	6	Business Analyst
B.Tech	Business Analytics	Intermediate	Yes	Yes	1	Business Analyst
MBA	Data Science	Advanced	No	No	3	ML Engineer
MCA	Data Science	Intermediate	Yes	Yes	4	Data Scientist
M.Sc	Artificial Intelligence	Advanced	No	Yes	4	ML Engineer
B.Tech	Information Technology	Advanced	Yes	Yes	3	Software Developer
B.Tech	Information Technology	Intermediate	No	Yes	3	Software Developer
MCA	Information Technology	Advanced	No	No	2	Software Developer
B.Tech	Business Analytics	Advanced	Yes	Yes	4	Business Analyst
MBA	Business Analytics	Intermediate	No	Yes	2	Business Analyst
M.Sc	Data Science	Advanced	No	No	1	Data Scientist
MCA	Artificial Intelligence	Advanced	Yes	No	6	ML Engineer
B.Tech	Data Science	Advanced	Yes	Yes	4	ML Engineer
MCA	Business Analytics	Intermediate	Yes	Yes	0	Business Analyst
M.Sc	Data Science	Advanced	Yes	No	6	Data Scientist
MBA	Information Technology	Advanced	Yes	Yes	2	Software Developer
B.Tech	Computer Science	Intermediate	No	Yes	2	Software Developer
MCA	Business Analytics	Beginner	Yes	No	2	Business Analyst
M.Sc	Data Science	Advanced	Yes	Yes	3	Data Scientist
M.Sc	Data Science	Advanced	No	No	5	ML Engineer
MBA	Artificial Intelligence	Advanced	Yes	No	5	ML Engineer
MBA	Computer Science	Intermediate	Yes	No	5	Software Developer
MCA	Data Science	Advanced	Yes	Yes	6	Data Scientist
MBA	Data Science	Advanced	Yes	No	5	ML Engineer
MBA	Artificial Intelligence	Advanced	No	No	3	ML Engineer
MBA	Data Science	Advanced	No	Yes	2	Data Scientist
MBA	Information Technology	Intermediate	No	No	2	Software Developer
MBA	Business Analytics	Beginner	No	No	4	Business Analyst
MBA	Data Science	Advanced	Yes	Yes	2	Data Scientist
MBA	Business Analytics	Beginner	No	No	6	Business Analyst
MCA	Data Science	Advanced	No	Yes	3	Data Scientist
B.Tech	Business Analytics	Beginner	Yes	No	1	Business Analyst
MCA	Computer Science	Advanced	No	No	4	Software Developer
MCA	Computer Science	Advanced	Yes	Yes	6	Software Developer
MBA	Computer Science	Advanced	No	Yes	6	Software Developer
MBA	Computer Science	Intermediate	No	No	6	Software Developer
B.Tech	Computer Science	Beginner	Yes	No	4	Software Developer
MBA	Data Science	Advanced	Yes	No	2	Data Scientist
B.Tech	Data Science	Advanced	No	No	3	ML Engineer
MBA	Information Technology	Advanced	Yes	No	5	Software Developer
M.Sc	Data Science	Advanced	No	Yes	5	ML Engineer
MBA	Data Science	Advanced	Yes	Yes	0	Data Scientist
M.Sc	Data Science	Advanced	No	Yes	1	Data Scientist
MCA	Artificial Intelligence	Advanced	No	No	4	ML Engineer
M.Sc	Computer Science	Beginner	Yes	Yes	5	Software Developer
M.Sc	Data Science	Advanced	Yes	Yes	2	Data Scientist
M.Sc	Data Science	Advanced	Yes	Yes	2	Data Scientist
B.Tech	Computer Science	Advanced	Yes	No	6	Software Developer
MCA	Artificial Intelligence	Advanced	Yes	Yes	5	ML Engineer
MBA	Business Analytics	Intermediate	Yes	Yes	6	Business Analyst
MCA	Data Science	Advanced	Yes	Yes	4	Data Scientist
M.Sc	Business Analytics	Beginner	Yes	Yes	2	Business Analyst
MCA	Computer Science	Advanced	No	Yes	2	Software Developer
MCA	Artificial Intelligence	Advanced	Yes	Yes	4	ML Engineer
B.Tech	Business Analytics	Intermediate	Yes	No	4	Business Analyst
M.Sc	Artificial Intelligence	Intermediate	Yes	Yes	3	ML Engineer
MCA	Business Analytics	Beginner	Yes	Yes	2	Business Analyst
MCA	Information Technology	Intermediate	Yes	No	4	Software Developer
M.Sc	Business Analytics	Intermediate	No	No	5	Business Analyst
MBA	Data Science	Advanced	Yes	Yes	4	Data Scientist
MCA	Data Science	Advanced	No	No	4	ML Engineer
MBA	Business Analytics	Beginner	Yes	No	5	Business Analyst
MBA	Data Science	Advanced	Yes	No	6	ML Engineer
M.Sc	Data Science	Advanced	Yes	Yes	4	Data Scientist
B.Tech	Data Science	Advanced	No	No	3	ML Engineer
